R2,6.85,31.75,0.00,0,CPF0201D7K68C1_0201
R2_EP_DR,13.97,20.32,0.00," 10K",CPF0201D7K68C1_0201
R2_USB,27.94,11.43,0.00,5K1,CPF0201D7K68C1_0201
R3,12.70,29.21,0.00," 0",CPF0201D7K68C1_0201
R4,10.16,33.34,0.00,0,CPF0201D7K68C1_0201
R5,30.48,13.58,0.00,10K,CPF0201D7K68C1_0201
R7,35.56,11.43,0.00,10K,CPF0201D7K68C1_0201
R8,33.12,13.86,0.00,10K,CPF0201D7K68C1_0201
R9,17.78,35.56,0.00," 10K",CPF0201D7K68C1_0201
R_PWR_EPD,16.51,22.86,0.00,10K,CPF0201D7K68C1_0201
R_TYPE_SEL,17.78,16.51,0.00,2.2,CPF0201D7K68C1_0201
SJ1,15.24,16.51,0.00,,ESP32_C6_LIBRARY_7_JUMPER_SJ
SW_DN,39.04,8.77,0.00,2025-10-22_07-23-44_LIBRARY_EVP-AKE31ASW_EVP-AKE31A_PAN,2025-10-22_07-23-44_LIBRARY_SW_EVP-AKE31A_PAN
SW_ENT,34.12,7.83,0.00,2025-10-22_07-23-44_LIBRARY_EVP-AKE31ASW_EVP-AKE31A_PAN,2025-10-22_07-23-44_LIBRARY_SW_EVP-AKE31A_PAN
SW_UP,29.21,7.83,0.00,2025-10-22_07-23-44_LIBRARY_EVP-AKE31ASW_EVP-AKE31A_PAN,2025-10-22_07-23-44_LIBRARY_SW_EVP-AKE31A_PAN
TP_3.3V,22.86,20.32,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_3V3,-1.10,31.70,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_BAT_GND,21.34,27.69,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_GND,22.86,16.51,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_ON,40.68,12.70,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_OP,40.68,15.24,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_RESET,29.21,25.40,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_SCL,5.21,31.40,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_SDA,0.38,30.13,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_SWDCLK,29.21,21.59,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_SWDIO,25.40,24.13,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_SWO,25.40,27.94,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_VBAT,19.05,27.94,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_VREG,0.19,34.95,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
U$1,30.21,33.02,0.00,NRF52840_QF,NORDIC_NRF_4_AQFN50P700X700X85_HS-74N
U3,20.32,25.40,0.00,MAX17048G+T10,ESP32_C6_LIBRARY_SON50P200X200X80-9N
X1,38.00,34.15,0.00,32MHz,NORDIC_NRF_BT-XTAL_2016_N
X2,21.59,35.56,0.00,32.768kHz,NORDIC_NRF_1_XTAL_3215_N
